Date,Price,Open,High,Low,Vol.,Change %
2006-06-22,300.12,295.79,304.99,295.79,,1.46%
2006-06-23,308.78,300.12,308.84,300.12,,2.89%
2006-06-26,307.51,308.78,311.37,307.09,,-0.41%
2006-06-27,315.36,307.51,315.44,307.51,,2.55%
2006-06-28,310.95,315.36,315.36,309.32,,-1.40%
2006-06-29,314.45,310.95,316.32,310.95,,1.13%
2006-06-30,315.65,314.45,323.84,313.30,,0.38%
2006-07-03,321.03,315.65,321.93,315.65,,1.70%
2006-07-04,323.05,321.03,324.63,321.03,,0.63%
2006-07-05,316.73,323.05,323.35,316.73,,-1.96%
2006-07-06,322.30,316.73,323.26,316.73,,1.76%
2006-07-07,325.63,322.30,326.60,319.92,,1.03%
2006-07-10,322.76,325.63,325.63,321.36,,-0.88%
2006-07-11,322.31,322.76,322.76,319.30,,-0.14%
2006-07-12,328.35,322.31,329.22,322.31,,1.87%
2006-07-13,324.15,328.35,329.35,322.22,,-1.28%
2006-07-14,320.21,324.15,324.62,319.42,,-1.22%
2006-07-17,314.15,320.21,321.90,313.48,,-1.89%
2006-07-18,309.15,314.15,314.15,305.19,,-1.59%
2006-07-19,310.65,309.15,311.90,306.62,,0.49%
2006-07-20,313.79,310.65,318.72,310.65,,1.01%
2006-07-21,307.53,313.79,313.79,306.87,,-1.99%
2006-07-24,308.71,307.53,309.02,305.70,,0.38%
2006-07-25,319.11,308.71,319.48,308.71,,3.37%
2006-07-26,319.64,319.11,320.97,318.01,,0.17%
2006-07-27,324.68,319.64,325.66,319.64,,1.58%
2006-07-28,321.74,324.68,324.68,321.73,,-0.91%
2006-07-31,321.95,321.74,323.16,319.07,,0.07%
2006-08-01,322.99,321.95,327.54,321.95,,0.32%
2006-08-02,327.68,322.99,327.95,322.99,,1.45%
2006-08-03,322.33,327.68,328.44,321.06,,-1.63%
2006-08-04,322.09,322.33,325.46,321.08,,-0.07%
2006-08-07,323.07,322.09,323.73,319.73,,0.30%
2006-08-08,323.20,323.07,326.15,322.14,,0.04%
2006-08-09,321.05,323.20,324.12,317.38,,-0.67%
2006-08-10,316.21,321.05,321.05,314.21,,-1.51%
2006-08-11,315.61,316.21,320.36,315.31,,-0.19%
2006-08-14,313.59,315.61,316.81,313.21,,-0.64%
2006-08-15,317.23,313.59,317.49,312.51,,1.16%
2006-08-16,318.27,317.23,319.62,315.90,,0.33%
2006-08-17,315.50,318.27,318.27,314.64,,-0.87%
2006-08-18,317.10,315.50,320.10,314.66,,0.51%
2006-08-21,323.51,317.10,324.44,317.10,,2.02%
2006-08-22,323.63,323.51,325.46,321.65,,0.04%
2006-08-23,326.42,323.63,327.38,323.31,,0.86%
2006-08-24,324.39,326.42,326.42,322.19,,-0.62%
2006-08-25,323.92,324.39,326.51,323.05,,-0.14%
2006-08-28,321.86,323.92,323.92,320.76,,-0.64%
2006-08-29,318.07,321.86,323.38,318.02,,-1.18%
2006-08-30,322.45,318.07,322.97,318.07,,1.38%
2006-08-31,321.63,322.45,323.93,320.80,,-0.25%
2006-09-01,326.27,321.63,327.15,321.63,,1.44%
2006-09-04,330.82,326.27,331.00,326.01,,1.39%
2006-09-05,332.46,330.82,333.10,330.02,,0.50%
2006-09-06,324.69,332.46,334.02,324.34,,-2.34%
2006-09-07,322.06,324.69,324.69,319.07,,-0.81%
2006-09-08,321.12,322.06,324.65,320.61,,-0.29%
2006-09-11,309.74,321.12,321.12,309.63,,-3.54%
2006-09-12,311.11,309.74,312.75,307.91,,0.44%
2006-09-13,315.01,311.11,315.43,309.97,,1.25%
2006-09-14,314.23,315.01,320.60,313.68,,-0.25%
2006-09-15,311.20,314.23,314.48,311.04,,-0.96%
2006-09-18,314.05,311.20,315.03,311.20,,0.92%
2006-09-19,315.36,314.05,317.36,313.69,,0.42%
2006-09-20,313.74,315.36,315.36,311.26,,-0.51%
2006-09-21,306.73,313.73,313.73,306.47,,-2.23%
2006-09-22,305.59,306.73,308.57,305.42,,-0.37%
2006-09-25,294.26,305.59,305.59,294.24,,-3.71%
2006-09-26,303.33,294.26,303.33,294.26,,3.08%
2006-09-27,308.97,303.33,310.07,303.33,,1.86%
2006-09-28,310.27,308.97,314.18,308.97,,0.42%
2006-09-29,309.95,310.27,310.27,307.51,,-0.10%
2006-10-02,308.78,309.95,311.95,308.04,,-0.38%
2006-10-03,301.67,308.78,308.78,301.15,,-2.30%
2006-10-04,304.83,301.67,305.32,297.25,,1.05%
2006-10-05,310.20,304.83,311.14,304.83,,1.76%
2006-10-06,309.83,310.20,311.92,309.67,,-0.12%
2006-10-09,313.20,309.83,313.83,309.83,,1.09%
2006-10-10,316.33,313.20,317.01,313.20,,1.00%
2006-10-11,315.52,316.33,317.23,314.11,,-0.26%
2006-10-12,319.37,315.52,319.43,314.95,,1.22%
2006-10-13,325.28,319.37,325.38,319.37,,1.85%
2006-10-16,330.38,325.28,330.99,325.28,,1.57%
2006-10-17,328.95,330.38,333.33,328.43,,-0.43%
2006-10-18,332.79,328.95,332.99,328.39,,1.17%
2006-10-19,335.41,332.79,335.46,329.87,,0.79%
2006-10-20,336.41,335.41,338.83,335.41,,0.30%
2006-10-23,332.52,336.41,336.41,331.85,,-1.16%
2006-10-24,334.67,332.52,334.68,330.84,,0.65%
2006-10-25,333.27,334.67,336.40,332.84,,-0.42%
2006-10-26,340.06,333.27,341.97,333.27,,2.04%
2006-10-27,340.09,340.06,342.17,338.91,,0.01%
2006-10-30,335.78,340.09,340.17,334.93,,-1.27%
2006-10-31,337.93,335.78,339.25,334.93,,0.64%
2006-11-01,340.68,337.93,342.36,337.93,,0.81%
2006-11-02,337.33,340.68,341.22,336.55,,-0.98%
2006-11-03,342.57,337.33,342.60,337.33,,1.55%
2006-11-06,350.11,342.57,350.11,342.57,,2.20%
2006-11-07,346.24,350.11,352.93,345.59,,-1.11%
2006-11-08,346.82,346.24,347.17,344.06,,0.17%
2006-11-09,349.62,346.82,351.54,346.82,,0.81%
2006-11-10,346.08,349.62,349.62,345.83,,-1.01%
2006-11-13,346.73,346.08,348.30,344.60,,0.19%
2006-11-14,349.96,346.73,351.45,346.73,,0.93%
2006-11-15,352.49,349.96,352.58,349.92,,0.72%
2006-11-16,354.87,352.49,355.35,351.07,,0.68%
2006-11-17,343.85,354.87,354.87,342.71,,-3.11%
2006-11-20,347.01,343.85,347.93,342.05,,0.92%
2006-11-21,351.37,347.01,351.41,347.01,,1.26%
2006-11-22,350.42,351.37,355.99,350.42,,-0.27%
2006-11-23,347.36,350.42,351.54,347.36,,-0.87%
2006-11-24,347.35,347.36,347.94,342.07,,0.00%
2006-11-27,342.79,347.35,349.66,342.49,,-1.31%
2006-11-28,338.40,342.79,342.93,337.05,,-1.28%
2006-11-29,346.10,338.40,346.11,338.40,,2.28%
2006-11-30,346.45,346.10,350.68,346.10,,0.10%
2006-12-01,345.29,346.45,350.72,344.55,,-0.33%
2006-12-04,346.62,345.29,349.44,345.29,,0.39%
2006-12-05,349.70,346.62,351.06,346.62,,0.89%
2006-12-06,347.47,349.70,350.80,346.07,,-0.64%
2006-12-07,347.22,347.47,349.67,346.74,,-0.07%
2006-12-08,348.61,347.22,350.11,346.33,,0.40%
2006-12-11,349.66,348.61,351.40,348.13,,0.30%
2006-12-12,352.04,349.66,352.07,347.68,,0.68%
2006-12-13,350.32,352.04,352.11,349.06,,-0.49%
2006-12-14,356.97,350.32,357.16,350.32,,1.90%
2006-12-15,360.18,356.97,360.18,356.97,,0.90%
2006-12-18,370.13,360.18,378.62,360.18,,2.76%
2006-12-19,365.14,370.13,370.13,361.96,,-1.35%
2006-12-20,370.31,365.14,370.43,365.14,,1.42%
2006-12-21,366.44,370.31,370.31,366.25,,-1.05%
2006-12-22,366.97,366.44,368.66,365.65,,0.14%
2006-12-27,368.63,366.97,369.92,366.25,,0.45%
2006-12-28,372.13,368.63,372.13,368.63,,0.95%
2006-12-29,371.37,372.13,373.01,371.33,,-0.20%
2007-01-02,376.52,371.37,377.16,371.21,,1.39%
2007-01-03,371.06,376.52,377.55,371.06,,-1.45%
2007-01-04,361.09,371.06,371.06,361.09,,-2.69%
2007-01-05,360.56,361.09,361.54,353.77,,-0.15%
2007-01-08,365.33,360.56,367.28,360.56,,1.32%
2007-01-09,359.21,365.33,365.84,358.33,,-1.68%
2007-01-10,354.31,359.21,359.45,354.24,,-1.36%
2007-01-11,361.95,354.31,362.18,352.67,,2.16%
2007-01-12,362.59,361.95,364.38,358.78,,0.18%
2007-01-15,373.27,362.59,373.52,362.59,,2.95%
2007-01-16,371.96,373.27,373.90,369.92,,-0.35%
2007-01-17,368.42,371.96,372.92,365.83,,-0.95%
2007-01-18,371.16,368.42,373.66,368.42,,0.74%
2007-01-19,376.63,371.16,376.63,367.73,,1.47%
2007-01-22,380.90,376.63,382.64,376.63,,1.13%
2007-01-23,380.76,380.90,381.88,377.97,,-0.04%
2007-01-24,386.87,380.76,388.18,380.76,,1.60%
2007-01-25,383.11,386.87,390.30,382.70,,-0.97%
2007-01-26,385.09,383.11,385.84,379.65,,0.52%
2007-01-29,387.63,385.09,388.17,384.94,,0.66%
2007-01-30,385.54,387.63,387.63,384.16,,-0.54%
2007-01-31,387.11,385.54,389.81,385.54,,0.41%
2007-02-01,390.24,387.11,392.64,387.11,,0.81%
2007-02-02,392.70,390.24,394.28,390.24,,0.63%
2007-02-05,393.48,392.70,395.35,392.47,,0.20%
2007-02-06,394.58,393.48,395.48,392.35,,0.28%
2007-02-07,394.56,394.58,396.09,393.00,,-0.01%
2007-02-08,390.42,394.56,394.81,389.53,,-1.05%
2007-02-09,395.36,390.42,395.62,390.42,,1.27%
2007-02-12,389.96,395.36,395.36,389.82,,-1.37%
2007-02-13,393.65,389.96,393.77,389.64,,0.95%
2007-02-14,397.84,393.65,398.56,393.58,,1.06%
2007-02-15,389.39,397.84,397.84,389.39,,-2.12%
2007-02-16,387.80,389.39,392.00,386.00,,-0.41%
2007-02-19,390.60,387.80,391.04,385.10,,0.72%
2007-02-20,385.47,390.60,391.35,384.08,,-1.31%
2007-02-21,384.72,385.47,388.12,382.88,,-0.19%
2007-02-22,384.44,384.72,387.19,383.90,,-0.07%
2007-02-23,386.69,384.44,388.35,384.44,,0.59%
2007-02-26,390.41,386.69,390.76,386.69,,0.96%
2007-02-27,375.97,390.41,390.41,373.17,,-3.70%
2007-02-28,369.56,375.97,375.97,365.12,,-1.70%
2007-03-01,364.64,369.56,377.35,360.11,,-1.33%
2007-03-02,367.86,364.64,370.90,363.94,,0.88%
2007-03-05,361.71,367.86,367.86,354.50,,-1.67%
2007-03-06,365.55,361.71,366.62,361.71,,1.06%
2007-03-07,365.98,365.55,369.32,364.55,,0.12%
2007-03-08,374.26,365.98,375.73,365.98,,2.26%
2007-03-09,372.23,374.26,375.89,369.69,,-0.54%
2007-03-12,371.30,372.23,374.87,369.46,,-0.25%
2007-03-13,370.20,371.30,373.61,368.41,,-0.30%
2007-03-14,363.43,370.20,370.20,359.15,,-1.83%
2007-03-15,366.65,363.43,368.50,363.18,,0.89%
2007-03-16,368.14,366.65,369.21,363.65,,0.41%
2007-03-19,375.12,368.14,375.97,368.14,,1.90%
2007-03-20,377.81,375.12,378.73,374.18,,0.72%
2007-03-21,381.69,377.81,381.92,377.03,,1.03%
2007-03-22,383.02,381.69,385.22,380.54,,0.35%
2007-03-23,386.91,383.02,386.95,382.39,,1.02%
2007-03-26,384.37,386.91,390.29,384.33,,-0.66%
2007-03-27,380.51,384.37,387.74,380.51,,-1.00%
2007-03-28,384.41,380.51,384.76,380.51,,1.02%
2007-03-29,386.97,384.41,388.58,383.76,,0.67%
2007-03-30,386.16,386.97,389.72,386.07,,-0.21%
2007-04-02,387.24,386.16,388.94,384.68,,0.28%
2007-04-03,389.61,387.24,390.02,387.24,,0.61%
2007-04-04,389.56,389.61,390.91,389.00,,-0.01%
2007-04-10,392.37,389.56,392.42,388.14,,0.72%
2007-04-11,390.66,392.37,394.58,390.52,,-0.44%
2007-04-12,386.89,390.66,390.66,385.82,,-0.97%
2007-04-13,390.18,386.89,391.81,386.89,,0.85%
2007-04-16,394.00,390.18,394.48,390.18,,0.98%
