"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2024","1.06","1.10","1.12","1.05","290.51K","-6.18%"
"02/16/2024","1.13","1.15","1.15","1.06","725.70K","-0.53%"
"02/15/2024","1.14","1.16","1.16","1.04","327.66K","3.64%"
"02/14/2024","1.10","1.07","1.18","1.06","539.57K","0.55%"
"02/13/2024","1.09","1.18","1.18","1.09","550.73K","-2.33%"
"02/12/2024","1.12","1.15","1.20","1.07","691.81K","-3.29%"
"02/09/2024","1.16","1.08","1.20","1.08","813.73K","8.04%"
"02/08/2024","1.07","1.06","1.08","1.05","229.19K","-1.83%"
"02/07/2024","1.09","1.07","1.10","1.05","241.44K","-2.33%"
"02/06/2024","1.12","1.08","1.12","1.05","207.33K","2.95%"
"02/05/2024","1.08","1.06","1.12","1.06","509.95K","-3.21%"
"02/02/2024","1.12","1.17","1.17","1.10","378.24K","-2.61%"
"02/01/2024","1.15","1.11","1.15","1.09","593.32K","3.60%"
"01/31/2024","1.11","1.23","1.23","1.09","358.93K","-1.77%"
"01/30/2024","1.13","1.16","1.23","1.12","561.50K","-2.59%"
"01/29/2024","1.16","1.16","1.19","1.15","827.98K","-3.01%"
"01/26/2024","1.20","1.19","1.24","1.16","342.97K","-4.32%"
"01/25/2024","1.25","1.25","1.29","1.19","475.31K","2.63%"
"01/24/2024","1.22","1.28","1.30","1.21","1.16M","-6.02%"
"01/23/2024","1.30","1.30","1.35","1.23","335.51K","0.62%"
"01/22/2024","1.29","1.22","1.38","1.17","880.87K","5.57%"
"01/19/2024","1.22","1.22","1.22","1.15","531.49K","0.00%"
"01/18/2024","1.22","1.19","1.22","1.15","476.80K","3.23%"
"01/17/2024","1.18","1.18","1.20","1.14","364.17K","0.00%"
"01/16/2024","1.18","1.16","1.21","1.15","744.20K","-1.99%"
"01/15/2024","1.21","1.24","1.24","1.15","672.54K","-1.95%"
"01/12/2024","1.23","1.25","1.25","1.21","949.39K","-1.44%"
"01/11/2024","1.25","1.25","1.25","1.22","547.79K","0.00%"
"01/10/2024","1.25","1.25","1.28","1.22","597.83K","-1.58%"
"01/09/2024","1.27","1.30","1.30","1.25","402.30K","-2.76%"
"01/08/2024","1.30","1.30","1.31","1.21","1.04M","-0.61%"
"01/05/2024","1.31","1.35","1.35","1.26","1.09M","0.92%"
"01/04/2024","1.30","1.35","1.35","1.27","1.60M","-3.56%"
"01/03/2024","1.35","1.38","1.38","1.32","652.17K","0.00%"
"01/02/2024","1.35","1.26","1.47","1.26","1.73M","4.65%"
"12/29/2023","1.29","1.27","1.37","1.27","2.81M","1.57%"
"12/28/2023","1.27","1.35","1.38","1.25","2.70M","-7.97%"
"12/27/2023","1.38","1.62","1.74","1.32","6.39M","-8.00%"
"12/22/2023","1.50","1.00","1.94","0.99","13.65M","50.00%"
