"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2025","37.00","37.00","37.00","37.00","0.00K","-5.13%"
"07/21/2025","39.00","39.40","39.40","39.00","2.16K","-0.51%"
"07/18/2025","39.20","39.20","39.20","39.20","0.01K","4.26%"
"07/17/2025","37.60","37.60","37.60","37.60","0.43K","-4.08%"
"07/16/2025","39.20","37.60","39.20","37.60","0.04K","-0.51%"
"07/15/2025","39.40","39.20","39.40","39.20","3.38K","6.49%"
"07/14/2025","37.00","39.40","39.40","37.00","0.77K","-3.14%"
"07/11/2025","38.20","39.40","39.40","38.20","0.03K","-2.05%"
"07/10/2025","39.00","39.40","39.40","39.00","0.80K","2.63%"
"07/09/2025","38.00","38.00","40.00","38.00","0.18K","0.00%"
"07/08/2025","38.00","39.00","39.00","38.00","2.00K","-5.94%"
"07/04/2025","40.40","40.00","40.40","40.00","0.16K","3.59%"
"07/03/2025","39.00","39.00","39.00","39.00","300.83K","0.00%"
"07/02/2025","39.00","38.00","40.00","38.00","4.34K","2.63%"
"07/01/2025","38.00","36.20","38.20","36.20","102.02K","0.00%"
"06/30/2025","38.00","38.00","38.00","36.60","10.04K","1.60%"
"06/27/2025","37.40","37.40","37.40","37.40","0.71K","5.65%"
"06/26/2025","35.40","36.00","36.00","35.40","2.61K","0.57%"
"06/25/2025","35.20","38.00","38.00","35.20","36.86K","-3.30%"
"06/24/2025","36.40","38.00","38.00","36.40","5.35K","-0.55%"
"06/23/2025","36.60","38.00","38.00","36.60","1.43K","-3.68%"
"06/20/2025","38.00","38.00","38.80","38.00","0.35K","0.00%"
"06/16/2025","38.00","39.20","39.20","38.00","1.44K","4.40%"
"06/12/2025","36.40","36.40","36.40","36.40","0.00K","-8.54%"
"06/11/2025","39.80","39.80","40.00","39.80","0.27K","0.00%"
"06/10/2025","39.80","40.20","40.20","39.20","11.63K","-1.49%"
"06/06/2025","40.40","37.40","40.60","37.40","6.86K","8.60%"
"06/05/2025","37.20","37.20","37.20","36.40","1.30K","1.64%"
"06/04/2025","36.60","32.40","36.60","32.40","5.98K","0.00%"
"06/03/2025","36.60","37.40","37.40","36.60","3.05K","-2.66%"
"06/02/2025","37.60","37.00","37.60","37.00","7.25K","-1.05%"
"05/30/2025","38.00","38.00","38.00","37.00","6.82K","1.06%"
"05/28/2025","37.60","37.80","37.80","37.60","0.36K","2.73%"
"05/27/2025","36.60","37.80","37.80","36.60","9.85K","-2.66%"
"05/26/2025","37.60","36.60","37.60","36.60","2.12K","-0.53%"
"05/23/2025","37.80","37.80","37.80","37.80","1.07K","-0.53%"
"05/22/2025","38.00","38.00","38.00","38.00","0.26K","1.06%"
"05/21/2025","37.60","37.80","37.80","37.60","3.50K","0.00%"
"05/20/2025","37.60","37.60","37.60","37.60","0.10K","0.53%"
"05/19/2025","37.40","38.40","38.40","37.40","8.01K","-1.06%"
"05/16/2025","37.80","37.80","38.20","36.80","51.91K","-1.56%"
"05/15/2025","38.40","37.40","40.60","37.40","1.35K","2.13%"
"05/14/2025","37.60","38.00","38.00","34.20","2.63M","8.05%"
"05/13/2025","34.80","36.00","36.80","34.20","142.69K","-0.57%"
"05/12/2025","35.00","35.20","37.60","35.00","11.65K","-1.13%"
"05/09/2025","35.40","35.60","35.60","35.40","2.84K","-3.80%"
"05/08/2025","36.80","36.00","36.80","35.20","0.61K","-2.65%"
"05/07/2025","37.80","37.80","37.80","37.80","0.00K","0.00%"
"05/06/2025","37.80","37.80","37.80","37.80","0.01K","2.72%"
"05/02/2025","36.80","36.80","36.80","36.80","6.94K","0.00%"
"04/30/2025","36.80","35.20","37.80","35.00","29.12K","1.66%"
"04/29/2025","36.20","35.80","36.20","34.40","2.11K","0.56%"
"04/28/2025","36.00","35.20","36.60","35.20","0.03K","-2.17%"
"04/25/2025","36.80","36.80","36.80","36.80","0.01K","2.22%"
"04/24/2025","36.00","36.20","36.80","35.20","7.73K","-2.70%"
"04/23/2025","37.00","36.80","37.00","35.40","10.73K","0.00%"
"04/22/2025","37.00","37.00","37.00","37.00","0.01K","3.35%"
"04/16/2025","35.80","35.80","35.80","35.80","0.01K","2.87%"
"04/14/2025","34.80","38.60","38.60","34.80","0.15K","-3.33%"
"04/11/2025","36.00","37.40","37.40","34.20","2.79K","0.00%"
"04/10/2025","36.00","35.20","37.80","35.00","0.39K","-4.26%"
"04/09/2025","37.60","37.60","37.60","37.60","0.01K","-1.05%"
"04/08/2025","38.00","38.00","38.00","38.00","1.15K","0.53%"
"04/07/2025","37.80","37.80","37.80","37.80","0.01K","7.69%"
"04/04/2025","35.10","38.00","38.00","35.10","0.03K","-2.50%"
"04/03/2025","36.00","38.00","38.00","36.00","5.47K","-1.37%"
"04/02/2025","36.50","37.90","37.90","36.50","4.14K","1.11%"
"04/01/2025","36.10","38.00","38.00","36.10","0.51K","-5.00%"
"03/31/2025","38.00","38.00","38.00","35.00","6.45K","0.26%"
"03/28/2025","37.90","37.90","37.90","37.90","0.01K","-2.32%"
"03/27/2025","38.80","37.40","38.80","37.40","0.27K","0.00%"
"03/25/2025","38.80","36.90","38.80","36.90","2.09K","0.26%"
"03/24/2025","38.70","38.70","38.70","38.70","6.42K","7.20%"
"03/21/2025","36.10","38.70","38.70","36.10","9.19K","3.14%"
"03/20/2025","35.00","38.80","38.80","35.00","17.70K","-6.67%"
"03/19/2025","37.50","39.40","39.40","37.50","22.77K","-3.35%"
"03/17/2025","38.80","38.80","38.80","38.80","13.22K","0.00%"
"03/14/2025","38.80","37.70","39.00","37.50","6.25K","-1.27%"
"03/13/2025","39.30","37.50","39.90","37.50","8.30K","4.24%"
"03/12/2025","37.70","38.70","38.70","37.70","5.20K","-3.08%"
"03/11/2025","38.90","39.80","40.00","37.50","2.69K","-2.26%"
"03/10/2025","39.80","39.80","39.80","39.80","7.26K","0.00%"
"03/07/2025","39.80","38.00","39.80","37.90","9.39K","-0.50%"
"03/06/2025","40.00","35.10","40.00","35.10","0.05K","6.10%"
"03/05/2025","37.70","40.00","40.00","37.70","1.04K","0.00%"
"03/04/2025","37.70","40.00","40.00","37.70","9.21K","-5.75%"
"02/28/2025","40.00","40.00","40.00","40.00","46.97K","0.00%"
"02/27/2025","40.00","40.00","40.00","38.80","1.28K","6.67%"
"02/26/2025","37.50","40.00","40.00","37.50","24.01K","-6.25%"
"02/25/2025","40.00","37.90","40.00","37.90","13.12K","5.26%"
"02/24/2025","38.00","38.10","38.10","35.80","7.28K","0.00%"
"02/21/2025","38.00","38.00","38.00","38.00","0.30K","0.00%"
"02/20/2025","38.00","38.00","38.00","38.00","50.24K","0.00%"
"02/19/2025","38.00","37.30","38.10","37.30","50.95K","-1.30%"
"02/18/2025","38.50","37.50","38.50","37.50","36.13K","0.26%"
"02/17/2025","38.40","38.30","38.40","38.00","4.13K","-3.52%"
"02/14/2025","39.80","39.80","39.80","38.10","0.43K","-0.50%"
"02/13/2025","40.00","40.00","40.00","40.00","0.02K","4.71%"
"02/12/2025","38.20","38.20","38.20","38.20","0.00K","-4.26%"
"02/11/2025","39.90","38.60","39.90","38.00","2.58K","-0.25%"
"02/10/2025","40.00","39.90","40.00","39.90","1.00K","4.71%"
"02/07/2025","38.20","41.40","41.40","38.20","11.81K","-2.30%"
"02/05/2025","39.10","41.00","41.00","39.10","0.10K","0.00%"
"02/04/2025","39.10","38.30","40.70","38.30","3.17K","-3.93%"
"02/03/2025","40.70","38.30","40.90","38.20","5.30K","-3.10%"
"01/31/2025","42.00","41.90","42.00","40.00","7.95K","1.20%"
"01/30/2025","41.50","41.70","41.70","40.00","2.50K","3.75%"
"01/29/2025","40.00","38.50","40.70","38.20","2.00K","-2.44%"
"01/28/2025","41.00","41.00","41.00","41.00","0.17K","0.00%"
"01/27/2025","41.00","41.00","41.00","41.00","0.03K","0.74%"
"01/24/2025","40.70","40.00","40.70","38.10","0.87K","-0.25%"
"01/23/2025","40.80","40.00","41.00","40.00","2.76K","-0.24%"
"01/22/2025","40.90","40.40","40.90","38.50","0.37K","1.74%"
"01/21/2025","40.20","40.00","41.00","40.00","4.26K","4.96%"
"01/20/2025","38.30","43.00","43.00","38.10","4.55K","-11.75%"
"01/17/2025","43.40","40.10","43.60","40.00","24.65K","8.50%"
"01/16/2025","40.00","38.20","40.00","38.20","75.56K","4.71%"
"01/15/2025","38.20","40.90","40.90","37.50","16.18K","-6.60%"
"01/14/2025","40.90","42.30","42.30","39.50","3.07K","3.28%"
"01/13/2025","39.60","41.20","41.30","39.60","0.11K","-1.00%"
"01/10/2025","40.00","40.60","40.60","40.00","1.86K","-1.48%"
"01/09/2025","40.60","40.60","40.60","40.60","0.01K","-2.17%"
"01/08/2025","41.50","39.50","41.50","39.50","2.46K","-1.19%"
"01/07/2025","42.00","42.20","42.20","40.10","4.87K","3.96%"
"01/06/2025","40.40","40.40","40.40","40.40","0.00K","-5.39%"
"01/03/2025","42.70","42.00","42.70","42.00","0.22K","1.67%"
"01/02/2025","42.00","44.00","44.00","41.60","0.66K","-5.41%"
"12/30/2024","44.40","40.20","44.40","40.10","4.76K","11.00%"
"12/27/2024","40.00","38.60","40.00","38.60","4.04K","0.50%"
"12/23/2024","39.80","39.80","39.80","39.80","0.32K","-0.25%"
"12/19/2024","39.90","39.90","39.90","39.90","0.03K","3.37%"
"12/18/2024","38.60","39.70","39.70","38.60","0.81K","-3.26%"
"12/17/2024","39.90","39.80","40.00","39.80","1.32K","-1.48%"
"12/16/2024","40.50","40.50","40.50","40.40","17.77K","-1.22%"
"12/13/2024","41.00","41.00","41.00","41.00","0.27K","0.00%"
"12/12/2024","41.00","42.00","42.00","41.00","0.79K","-0.24%"
"12/11/2024","41.10","41.10","41.10","41.10","0.00K","-3.97%"
"12/10/2024","42.80","42.80","42.80","42.80","0.22K","-0.23%"
"12/09/2024","42.90","42.90","42.90","42.90","0.22K","4.63%"
"12/06/2024","41.00","41.30","41.30","41.00","4.18K","-5.53%"
"12/05/2024","43.40","41.50","43.50","41.50","0.27K","-1.36%"
"12/04/2024","44.00","42.00","44.00","41.30","4.44K","0.00%"
"12/03/2024","44.00","41.40","44.00","40.00","7.27K","-0.90%"
"12/02/2024","44.40","37.80","44.40","37.80","2.23K","0.91%"
"11/29/2024","44.00","44.80","44.80","44.00","3.65K","12.82%"
"11/28/2024","39.00","41.70","41.70","38.50","1.13K","-2.26%"
"11/27/2024","39.90","43.00","45.80","39.10","4.65K","-7.21%"
"11/26/2024","43.00","37.40","43.00","37.40","12.77K","16.22%"
"11/25/2024","37.00","37.00","37.00","37.00","0.20K","-1.33%"
"11/22/2024","37.50","37.00","37.50","37.00","0.77K","0.27%"
"11/21/2024","37.40","37.40","37.40","37.40","0.07K","0.00%"
"11/20/2024","37.40","37.00","37.40","37.00","4.20K","-0.27%"
"11/19/2024","37.50","37.40","37.50","37.20","7.57K","0.00%"
"11/18/2024","37.50","37.50","37.50","37.00","3.21K","0.00%"
"11/15/2024","37.50","35.60","37.50","35.00","4.63K","1.35%"
"11/14/2024","37.00","37.30","37.40","37.00","4.17K","-1.07%"
"11/13/2024","37.40","37.50","37.50","35.80","17.05K","-1.32%"
"11/12/2024","37.90","38.00","38.00","37.90","3.53K","2.43%"
"11/11/2024","37.00","36.90","40.00","36.90","35.99K","5.71%"
"11/08/2024","35.00","35.90","35.90","35.00","0.03K","0.00%"
"11/07/2024","35.00","34.80","36.30","32.00","2.21K","5.74%"
"11/06/2024","33.10","37.00","37.00","33.00","1.96K","-10.30%"
"11/05/2024","36.90","33.50","36.90","33.50","2.72K","-2.89%"
"11/04/2024","38.00","38.00","38.00","38.00","0.01K","2.70%"
"10/31/2024","37.00","37.00","37.00","36.90","2.92K","3.06%"
"10/30/2024","35.90","33.40","36.00","33.40","0.05K","7.49%"
"10/29/2024","33.40","33.50","35.10","33.40","0.28K","-6.44%"
"10/28/2024","35.70","35.70","35.70","35.70","0.00K","-3.25%"
"10/25/2024","36.90","33.40","36.90","33.40","2.56K","-2.12%"
"10/24/2024","37.70","34.00","37.70","33.40","6.00K","10.88%"
"10/23/2024","34.00","34.00","34.00","33.30","0.73K","1.49%"
"10/22/2024","33.50","34.00","34.00","33.50","0.00K","0.60%"
"10/21/2024","33.30","33.30","33.30","33.30","0.12K","0.00%"
"10/18/2024","33.30","33.90","34.00","33.30","4.68K","0.00%"
"10/17/2024","33.30","34.10","34.20","33.00","9.25K","-2.06%"
"10/16/2024","34.00","34.50","34.50","34.00","1.56K","-1.45%"
"10/15/2024","34.50","36.00","36.10","34.50","1.35K","4.55%"
"10/14/2024","33.00","33.30","35.30","33.00","1.92K","-0.60%"
"10/11/2024","33.20","32.50","34.30","32.50","3.36K","-3.49%"
"10/10/2024","34.40","34.90","34.90","32.90","2.20K","4.88%"
"10/09/2024","32.80","35.50","36.00","32.80","11.02K","-7.61%"
"10/08/2024","35.50","38.00","38.00","35.50","0.05K","0.00%"
"10/07/2024","35.50","38.10","38.10","35.50","6.62K","-1.66%"
"10/04/2024","36.10","38.00","38.00","36.10","0.72K","-5.74%"
"10/03/2024","38.30","38.30","38.30","38.30","0.10K","4.93%"
